SN,District,Municipality,Ward Number,Town/Village Name,Tole,Latitude,Longitude,Source Name,Source Type,Ownership,Surrounding Environment (Landuse),Plant Species around Water Source,Source Condition,Perennial / Seasonal,Dried since how many years?,Reason of drying,"After this source dried up , was there any activity for revival done in this source?",List the activities done for source revival,What was done after source was dried up?,Source Condition,Nature of discharge,Water emergence point,"Volume of bucket /bottle (1, 2, 5, 10 or 20 litre)",Time to fill (seconds),Approx. distance from the nearest dependent household (metre),One-way water fetching time (minutes),How much time did it take to fill the Jar of 20 liter before 10 yr? (minutes),Current time to fill 20 liter jar (minutes),Trend of spring discharge,Pond area (square metre),Pond depth (metre),Pond area 10 years earlier (square metre),Pond depth10 years earlier (metre),Perception on source water quality,Perception on source water quality change,Is this source in use?,Purpose of use,No. of households dependent on this source,Ethnicity of users,No. of households dependent on this source only,Ethnicity of users dependent on this source only,Any impact due to 2015 earthquake?,Is this source tapped?,Supplied to same Municipality or different?,Supplied to same ward or different wards?,Is water source significant for cultural/religious purpose?,List the events associated with sources,Is this source accessible to everyone in community? (in term of use access),If not who are restricted?,Are there water user groups for management?,User group type,Who is the chairperson?,Women in leadership position,Any spring revival / pond protection measures taken?,What measures have been taken?,Remarks (source specific comment)
1768,Kavrepalanchowk,Roshi RM,2,Roshi,Mahabir jarna,27.49244468,85.58785965,Purano kuwa,spring,public,sparse_forest,"Gas,pat,rukh",active,perennial,,,,,,cemented_tank,seepage,interface between rock and sediment,15,350,4,60,5,8,same,,,,,good,no_change,yes,"drinking,household,agriculture,religious_purpose,livestock",12,Janajati,12,Janajati,decreased,yes,same,same,no,,yes,,no,,,,yes,source_protection,Aajaii ramro huna paryo
1769,Kavrepalanchowk,Roshi RM,2,Roshi,Vhusuney khola,27.49245809,85.58772749,Kuwa,spring,community,sparse_forest,"Gas,pat,rukh",active,perennial,,,,,,open_kuwa,seepage,rock,15,400,4,55,8,9,decreasing,,,,,poor,degraded,yes,"drinking,livestock,agriculture,household",14,Janajati,14,Janajati,no_change,yes,same,same,no,,yes,,no,,,,no,,Ramro banauna paryp
1770,Kavrepalanchowk,Roshi RM,1,Koptil,Koptil,27.49791,85.56661129,Koptil,spring,public,dense_forest,Banmara sisnu pidalu,active,perennial,,,,,,open_kuwa,flowing,rock,10,600,50,10,10,20,decreasing,,,,,poor,degraded,no,,,,,,dried,no,,,no,,yes,,no,,,,no,,srot samrachyan 
1771,Kavrepalanchowk,Roshi RM,1,Koptil,Koptil,27.49699182,85.56746314,Koptil,spring,public,dense_forest,Banmara sisnu salla,active,perennial,,,,,,stone_spout,flowing,rock,10,600,60,10,5,20,decreasing,,,,,good,improved,no,,,,,,dried,no,,,no,,yes,,no,,,,no,,srot samrachyan
1772,Kavrepalanchowk,Roshi RM,2,Roshi,Mahabir jarna,27.48909366,85.58416244,Mahaviir pohari,pond,public,sparse_forest,"Gas,pat,rukh",active,perennial,,,,,,,,,,,,,,,,15,0.5,18,0.8,good,degraded,no,,,,,,,no,,,yes,Pratak haru aaunxan tesaile,yes,,no,,,,no,,Keii xain
1773,Kavrepalanchowk,Roshi RM,2,Roshi,Mahavir jarna,27.48819267,85.58445894,Purano kuwa,spring,public,dense_forest,"Gas,pat,rukh",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,10,600,5,80,15,20,same,,,,,poor,degraded,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,Keii xain
1774,Kavrepalanchowk,Roshi RM,2,Roshi,Mahavir jarna,27.48833801,85.58353734,Purano padeyro,spring,public,dense_forest,"Khas,pat,",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,12,600,6,2,12,18,same,,,,,poor,degraded,yes,drinking,1,janajati,,,no_change,no,,,no,,yes,,no,,,,no,,Xain
1775,Kavrepalanchowk,Roshi RM,2,Roshi,Mahavir jarna,27.48828838,85.58330821,Darauney Pokhari,pond,public,dense_forest,"Khas,pani",active,perennial,,,,,,,,,,,,,,,,10,0.5,12,0.8,poor,degraded,no,,,,,,,no,,,no,,yes,,no,,,,no,,Xain
1776,Kavrepalanchowk,Roshi RM,2,Roshi,Mahavir jarna,27.48821416,85.58310695,Darauney  pokhari,pond,public,dense_forest,Khas pani,active,perennial,,,,,,,,,,,,,,,,6,0.5,7,0.8,good,degraded,no,,,,,,,no,,,no,,yes,,no,,,,no,,Xain
1777,Kavrepalanchowk,Roshi RM,2,Roshi,Gattey khola,27.49065543,85.58598113,Kuwa,spring,public,sparse_forest,"Gas,pat",active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,10,600,3,50,15,20,same,,,,,poor,degraded,yes,drinking,1,janajati,1,janajati,no_change,no,,,no,,yes,,no,,,,no,,XAin
1778,Kavrepalanchowk,Roshi RM,2,Roshi,Gattey khola,27.4918099,85.58651716,Dungey kuwa,spring,public,sparse_forest,"Khas,pat",active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,4,60,3,30,4,5,decreasing,,,,,poor,degraded,yes,drinking,3,janajati,3,janajati,no_change,no,,,no,,yes,,no,,,,no,,Cain
1779,Kavrepalanchowk,Roshi RM,2,Roshi,Gattey khola,27.49177798,85.58652782,kuwa,spring,public,sparse_forest,Khas pat,active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,4,60,3,30,3,5,decreasing,,,,,poor,degraded,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,Xain
1780,Kavrepalanchowk,Roshi RM,2,Roshi,Gattey khola,27.49180933,85.58653648,purano kuwa,spring,public,sparse_forest,Khas pat,active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,4,60,2,40,3,5,decreasing,,,,,poor,degraded,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,Xain
1781,Kavrepalanchowk,Roshi RM,9,Mangaltar,Kamitar ,27.47835833,85.723425,Kamitaar kuwapani,spring,community,sparse_forest,"Lakhuri,katus,chilaune",dried,perennial,2065,drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782,Kavrepalanchowk,Roshi RM,9,Mangaltar,kamitar,27.47841833,85.72347,Kamitar kuwapani,spring,community,sparse_forest,"Katus,lakhuri,chilaune",dried,perennial,2065,drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,Kavrepalanchowk,Roshi RM,7,Roshi,Thansing,27.51001011,85.66847672,Thansing dhara,spring,private,sparse_forest,Unnyu. Jaluko. Banmara,active,perennial,,,,,,stone_spout,seepage,rock,1,25,50,5,15,9,decreasing,,,,,good,no_change,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,yo mul lai prayog ma lyauna sake panima sahajta lyauna sakinchha
1784,Kavrepalanchowk,Roshi RM,7,Roshi,Thansing,27.50512005,85.66671252,Tholo khola mul,spring,public,dense_forest,Fitti fya. Tuni. Utis,active,perennial,,,,,,open_kuwa,seepage,rock,1,40,600,25,3,13,decreasing,,,,,good,no_change,yes,"drinking,household,livestock",2,BCTS,2,BCTS,decreased,yes,same,same,no,,yes,,no,,,,no,,Na
1785,Kavrepalanchowk,Roshi RM,7,Roshi,Thansing,27.50642427,85.66684125,Thulo khola tallo mul,spring,public,dense_forest,Banmara.simal. Utis,active,perennial,,,,,,open_kuwa,seepage,rock,1,50,300,25,6,17,decreasing,,,,,good,no_change,no,,,,,,decreased,yes,same,same,no,,yes,,no,,,,no,,Na
1786,Kavrepalanchowk,Roshi RM,7,Roshi,Thansing bensi,27.51044222,85.66701118,Thansing school muniko mul,spring,private,agriculture,Sisnu. Banmata. Timilo,active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,1,3,30,2,1,1,decreasing,,,,,good,no_change,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,yo pani prayogma xaina.prayog garna sakine xa
1787,Kavrepalanchowk,Roshi RM,4,Lemba beshi,gupteshwor pakha,27.50761,85.637715,Lurpung khop mul,spring,public,dense_forest,"Sisnu, utis,banmara",active,perennial,,,,,,open_kuwa,flowing,soil/sediment,1,12,800,20,2,4,decreasing,,,,,good,no_change,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
1788,Kavrepalanchowk,Roshi RM,4,Lemba beshi,Lemba beshi,27.50489667,85.635465,Gupteshowar khop mul,spring,community,dense_forest,"Banmara ,utis,sisnu",dried,seasonal,2070,natural_disaster,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Kavrepalanchowk,Roshi RM,4,Lembabeshi,Lembabeshi,27.50444,85.63402833,Devi than mul,spring,public,sparse_forest,"Utis,banmara",active,perennial,,,,,,tap,flowing,rock,1,12,500,12,4,4,same,,,,,good,no_change,no,,,,,,no_change,no,,,yes,devi than ,yes,,no,,,,no,,
1790,Kavrepalanchowk,Roshi RM,7,Roshi,Thansin besi,27.50978025,85.6687924,Thansin beshi mul,spring,private,agriculture,"Pipal,utish,jamuna",active,perennial,,,,,,open_kuwa,seepage,rock,1,20,50,2,1,6,decreasing,,,,,good,degraded,yes,"household,livestock,drinking",2,BCTS,2,BCTS,decreased,yes,same,same,no,,yes,,no,,,,no,,
1791,Kavrepalanchowk,Roshi RM,7,Roshi,Thansin beshi,27.50576861,85.66674076,Tholu kholo,spring,public,dense_forest,"Banmara,kaiyo,uniw",dried,seasonal,2080,drought,no,,"new_source_identification,water_lifting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,Kavrepalanchowk,Roshi RM,7,Roshi,Thansin beshi,27.50546311,85.66670453,Thulo kholo,spring,public,dense_forest,"Banmara,uniw,utish",active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,60,500,10,1,20,decreasing,,,,,good,degraded,yes,"livestock,household",1,Janajati,1,Janajati,decreased,yes,same,same,no,,yes,,no,,,,no,,
1793,Kavrepalanchowk,Roshi RM,7,Roshi,Thansin beshi,27.50932167,85.66812116,Baltol,spring,private,sparse_forest,"Aalaichi,bash,uniw",active,perennial,,,,,,stone_spout,seepage,interface between rock and sediment,1,5,50,2,1,2,decreasing,,,,,good,degraded,yes,"drinking,recreation,livestock,household,agriculture",48,"Janajati,BCTS",48,"BCTS,Janajati",decreased,yes,same,same,no,,yes,,no,,,,no,,
1794,Kavrepalanchowk,Roshi RM,2,Roshi,Aadeyri khola,27.49320869,85.60327958,Kuwa,spring,public,sparse_forest,"Khas,pat",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,5,60,3,55,3,5,decreasing,,,,,poor,degraded,yes,"drinking,household,agriculture",2,janajait,2,janajati,decreased,no,,,no,,yes,,no,,,,no,,Xain
1795,Kavrepalanchowk,Roshi RM,2,Roshi,Bahun padeyro,27.49824896,85.60172902,Purano tyanki,spring,public,sparse_forest,"Khas,pat",active,perennial,,,,,,cemented_tank,seepage,soil/sediment,10,450,3,56,8,15,decreasing,,,,,poor,degraded,yes,"drinking,livestock,household",13,Janajati,13,Janajati,decreased,yes,same,same,no,,yes,,yes,formal,male,treasurer,no,,Xain
1796,Kavrepalanchowk,Roshi RM,2,Roshi,Bahun padeyro,27.49834657,85.60156593,Kuwa,spring,public,sparse_forest,"Gas,pat",dried,seasonal,2076,source_disruption,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,Kavrepalanchowk,Roshi RM,9,Mangaltar,Gotha pakah,27.46722333,85.720485,Tin dhare,spring,public,sparse_forest,"Tamal,lakhuri ,utis",active,perennial,,,,,,open_kuwa,flowing,soil/sediment,1,6,500,15,1,2,decreasing,,,,,good,no_change,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,
1798,Kavrepalanchowk,Roshi RM,9,Mangaltar,Gotha pakha,27.470735,85.72128333,Gotha pakha bass kholsa,spring,private,sparse_forest,"Bass,utis,mauwa",dried,seasonal,2072,earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,Kavrepalanchowk,Roshi RM,9,Mangaltar,Bohore,27.480705,85.72622333,Thulo ienar,spring,private,agriculture,"Tinak,bhimsenpati,kutmiro",dried,perennial,2062,drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,Kavrepalanchowk,Roshi RM,9,Mangaltar,Chyantaar,27.48180833,85.72721667,Chyantaar,spring,public,agriculture,"Aamba,khirra,bagaino",dried,perennial,2072,earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,Kavrepalanchowk,Roshi RM,9,Mangaltar,Laakpal,27.47578833,85.729925,Katike kholsa,spring,community,sparse_forest,"Sindur,banmara",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,1,8,300,25,1,3,decreasing,,,,,good,improved,yes,"drinking,household,agriculture,livestock",2,BCTS,2,BCTS,decreased,yes,same,same,no,,yes,,no,,,,yes,source_protection,
1802,Kavrepalanchowk,Roshi RM,9,Mangaltar,Laakpal,27.47584667,85.72986333,Katike kholsa2,spring,community,sparse_forest,"banmars,utis",active,perennial,,,,,,cemented_tank,flowing,interface between rock and sediment,1,6,300,25,1,2,decreasing,,,,,good,improved,yes,"drinking,household,agriculture,livestock",5,Janajati,5,Janajati,decreased,yes,same,same,no,,yes,,no,,,,no,,
1803,Kavrepalanchowk,Roshi RM,9,mangaltar,Lakpal,27.47413,85.73081,Lakpal kholsa,spring,private,sparse_forest,"Mauwa,phanel",active,perennial,,,,,,open_kuwa,flowing,soil/sediment,1,30,200,15,2,10,same,,,,,good,improved,yes,"drinking,household,agriculture,livestock",4,BCTS,4,BCTS,decreased,yes,same,same,no,,yes,,no,,,,no,,
1804,Kavrepalanchowk,Roshi RM,9,Mangaltar,Lakpal,27.47054167,85.73098,Sang khola,spring,community,sparse_forest,Utis banmara,active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,1,2,1000,45,1,1,decreasing,,,,,good,no_change,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,
1805,Kavrepalanchowk,Roshi RM,9,Mangaltar,Lakpal,27.47035167,85.73127167,Mhandu kholsa,spring,private,sparse_forest,"Utis,anukath",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,1,3,1000,45,0.5,1,decreasing,,,,,good,no_change,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,
1806,Kavrepalanchowk,Roshi RM,8,KHARPACHOWK,POKHARI TOLL ,27.50535333,85.694065,PADERO,spring,community,settlement,APP,dried,perennial,2070,natural_disaster,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,Kavrepalanchowk,Roshi RM,8,KHARPACHOWK,POKHARI TOLL,27.505215,85.69470167,pokhair tol ko mul,spring,community,grassland,BASS,active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,2,60,50,3,5,10,decreasing,,,,,poor,degraded,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,
1808,Kavrepalanchowk,Roshi RM,9,Mangaltar,paiusaura,27.46461667,85.709,Lekkhola,spring,public,sparse_forest,"Utis,banmara",active,perennial,,,,,,cemented_tank,flowing,soil/sediment,1,2,150,10,1,1,decreasing,,,,,good,improved,yes,"drinking,household,livestock,agriculture",160,Mixed,160,Mixed,decreased,yes,same,same,no,,yes,,yes,formal,male,treasurer,yes,source_protection,
1809,Kavrepalanchowk,Roshi RM,7,Roshi,Kamidada,27.51436542,85.68942907,Kamidada pokhari,pond,public,agriculture,Pipial. Timmur. Paniamala,dried,seasonal,2068,drought,no,0,well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,Kavrepalanchowk,Roshi RM,7,Roshi,Parsiltol,27.5144396,85.68923095,Parsiltol pandhero,spring,public,sparse_forest,Banmara. Damkane. Paniamala,active,perennial,,,,,,closed_kuwa,seepage,rock,1,50,50,2,4,10,decreasing,,,,,good,no_change,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,yo pani prayogma xaina .Prayog garna sakine pani ho yo
1811,Kavrepalanchowk,Roshi RM,7,Roshi,Raghuchaur,27.517428,85.68718762,School pokhari,pond,community,agriculture,Pipal. Aanp. Amba,dried,seasonal,2065,drought,no,0,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,Kavrepalanchowk,Roshi RM,7,Roshi,Batule,27.51866463,85.68482428,Tallopokhari,pond,private,agriculture,Sito. Dhayero.banmara,dried,seasonal,2065,drought,no,0,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,Kavrepalanchowk,Roshi RM,7,Roshi,Beshi pakha,27.51822636,85.6843706,Syalthumke mul,spring,private,sparse_forest,Salla. Pithauli. Nundhikke,dried,perennial,2072,earthquake,no,0,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,Kavrepalanchowk,Roshi RM,2,narayantar,boharatol,27.49323226,85.58914017,pancha kanya pokhari,pond,private,agriculture,mauwa chilaune machhaino,active,perennial,,,,,,,,,,,,,,,,508.8,1,508.8,1,poor,no_change,yes,"agriculture,livestock,household",5,Janajati,5,Janajati,0,yes,same,same,no,,yes,,no,,,,no,,
1815,Kavrepalanchowk,Roshi RM,2,narayantar,boharatol,27.49185341,85.58682919,aandheri khola puranogau ko muhan,spring,public,sparse_forest,uttish mauwa chilaune,active,perennial,,,,,,open_kuwa,flowing,rock,1,5,150,40,1,1,same,,,,,excellent,no_change,yes,"drinking,agriculture,household",20,Mixed,20,Mixed,no_change,yes,same,same,no,,yes,,no,,,,no,,
1816,Kavrepalanchowk,Roshi RM,7,Roshi,Chaudilo,27.51074927,85.68548909,Chaudilo mul,spring,private,sparse_forest,Banmara. Paniamala. Chiuri,dried,perennial,2075,earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,Kavrepalanchowk,Roshi RM,2,narayantar,boharatol,27.4898572,85.58451513,aandheri khola bal tol muhan,spring,public,dense_forest,uttish mauwa chilaune,active,perennial,,,,,,open_kuwa,flowing,rock,1,5,200,60,1,1,same,,,,,excellent,improved,yes,"drinking,agriculture,household",20,Mixed,20,mixed,no_change,yes,same,same,no,,yes,,no,,,,no,,
1818,Kavrepalanchowk,Roshi RM,2,narayantar,boharatol,27.48983488,85.58451806,mahabhir jharna muhan,spring,public,dense_forest,"uttish chilaune, phalat",active,perennial,,,,,,open_kuwa,flowing,rock,1,5,200,60,1,1,same,,,,,excellent,improved,yes,"drinking,agriculture,livestock",150,Mixed,75,Mixed,no_change,yes,both,both,no,,yes,,yes,formal,male,treasurer,no,,
1819,Kavrepalanchowk,Roshi RM,2,narayantar,boharatol,27.49262699,85.58834382,aandheri khola kamitol ko muhan,spring,public,dense_forest,uttish mauwa chilaune,active,perennial,,,,,,cemented_tank,flowing,rock,2,10,60,40,2,2,same,,,,,excellent,no_change,yes,"drinking,agriculture,livestock",20,Janajati,12,Janajati,no_change,yes,same,same,no,,yes,,no,,,,no,,
1820,Kavrepalanchowk,Roshi RM,7,Roshi,Parikhoriya,27.51007315,85.68420177,Saunepanimul,spring,community,sparse_forest,Kukurdaino. Pithauli. Siris,dried,seasonal,2072,earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821,Kavrepalanchowk,Roshi RM,5,PALTAPILTO,KHELMRANG,27.49135691,85.67322789,WATTISYONG,spring,community,sparse_forest,"UTTISH,BANMARA,SISNU",active,perennial,,,,,,closed_kuwa,seepage,interface between rock and sediment,2,30,80,8,1,10,decreasing,,,,,excellent,no_change,yes,"drinking,livestock,household",6,Janajati,6,Janajati,no_change,no,,,no,,yes,,no,,,,yes,source_protection,Pani ko bahab ramro chha
1822,Kavrepalanchowk,Roshi RM,5,KANGSHA,KANGSHA,27.49546019,85.645951,DAAPWATTI,spring,community,sparse_forest,"BANMARA,BAAS,UTTISH",dried,perennial,2073,Infrastructure Development,no,,water_lifting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,Kavrepalanchowk,Roshi RM,7,Roshi,Beshi pakha,27.51074861,85.68414357,Parikhoriya mul,spring,private,sparse_forest,Jamunu. Paileti. banmara,dried,seasonal,2062,natural_disaster,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,Kavrepalanchowk,Roshi RM,7,Roshi,Salleni,27.51084767,85.68295218,Suipako mul,spring,community,sparse_forest,Sslla. Kaiyo. Anggeri,dried,seasonal,2068,drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,Kavrepalanchowk,Roshi RM,7,Roshi,Beshipakha,27.5110397,85.68422425,Saunepani mul,spring,private,sparse_forest,Chiuri. Phadil. Paniamala,dried,perennial,2073,earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,Kavrepalanchowk,Roshi RM,5,GYANGDADA,GYANGDADA,27.49670993,85.64189868,GONBOSYONG,spring,community,dense_forest,"UTTISH,UNIU,BANMARA",active,seasonal,,,,,,open_kuwa,seepage,interface between rock and sediment,1,180,1000,20,2,60,decreasing,,,,,good,no_change,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,Mausami mul bayakale jado mausam ma sukiya pani garmi mausam ma bane pani auchha
1827,Kavrepalanchowk,Roshi RM,7,Roshi,Fedipakha,27.51155147,85.6842798,Duisalle mul,spring,private,sparse_forest,Kalikath. Simal.paniamala,dried,perennial,2073,earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,Kavrepalanchowk,Roshi RM,7,Roshi,Ghartikhoriya,27.51228943,85.68487537,Chukulkopato muniko mul,spring,private,agriculture,Badkaule. Paileti. Gayo,dried,perennial,2062,natural_disaster,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,Kavrepalanchowk,Roshi RM,5,MHANEGANG,MHANEGANG,27.50551981,85.65172277,MHANEGYOI,pond,community,grassland,"PIPAL,KUTMIRO,TITEPATTI",active,perennial,,,,,,,,,,,,,,,,30,1.5,10,1,good,no_change,yes,"agriculture,household",10,Janajati,10,Janajati,,yes,same,same,no,,yes,,yes,informal,male,treasurer,yes,recharge_pond_construction,Sinchai ko lagi samuday milera pani jamako pokhari
1830,Kavrepalanchowk,Roshi RM,7,Roshi,Tersatol,27.51450843,85.68528452,Khaire kuwa,spring,private,agriculture,Pthauli. Ketuke. Amala,dried,perennial,2072,earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831,Kavrepalanchowk,Roshi RM,7,Roshi,Majuwa,27.5135941,85.68144935,Majuwa pandhero,spring,private,sparse_forest,Phadil. Kukurdaino. Kaiyo,dried,perennial,2068,drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,Kavrepalanchowk,Roshi RM,7,Roshi,Majuwa,27.513095,85.67946008,Majuwa tallo kuwa,spring,private,sparse_forest,Kalikath. Mauwa. Paniamala,dried,perennial,2063,natural_disaster,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,Kavrepalanchowk,Panauti,3,Ghimire gau,Chuki tol,27.5930516666667,85.4745416666667,padero,spring,community,settlement,Utisa ,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,8,45,2,3,3,same,,,,,good,improved,yes,"household,agriculture,livestock",8,BCTS,0,BCTS,no_change,yes,same,same,no,,yes,,no,,,,yes,"trench-pit,source_protection",पहिला कुवा थियाे ‍अहिले रिङ हालिएकाे छ।
1834,Kavrepalanchowk,Panauti,11,पनौति,माझाटाेल,27.5569216666667,85.5442,ढाड,spring,community,sparse_forest,लपसि उितिश उिनउ,active,perennial,,,,,,closed_kuwa,seepage,soil/sediment,4,40,60,30,1,4,decreasing,,,,,good,degraded,no,,,,,,decreased,no,,,no,,yes,,no,,,,yes,trench-pit,समरछेण
1835,Kavrepalanchowk,Panauti,11,Balthali,Tallo balthali,27.5583269833333,85.55176275,School nirw ko pokhari,pond,community,settlement,Kalimunte sisno kuro,active,seasonal,,,,,,,,,,,,,,,,30,2,30,2,poor,no_change,yes,agriculture,15,BCTS,0,BCTS,0,yes,same,same,no,,yes,,no,,,,no,,
1836,Kavrepalanchowk,Panauti,11, balthali,Tallo balthali,27.5575892166667,85.5511874666667,Sabik 1 rw 2 ko simana raheko padhero ,spring,community,dense_forest,Chilaune tunni lapsi,active,perennial,,,,,,closed_kuwa,seepage,interface between rock and sediment,1,32,50,10,10,10,same,,,,,excellent,improved,yes,drinking,100,Mixed,0,Mixed,no_change,no,,,no,,yes,,no,,,,yes,"plantation,source_protection",
